Category: All categories,,,,,
,,,,,
Region,Gym: (1/1/18 - 7/14/20),Diet: (1/1/18 - 7/14/20),Bicycle: (1/1/18 - 7/14/20),Yoga: (1/1/18 - 7/14/20),Walking: (1/1/18 - 7/14/20)
Vermont,14%,29%,6%,34%,17%
West Virginia,13%,42%,5%,13%,27%
Idaho,19%,38%,6%,19%,18%
Arkansas,14%,42%,6%,14%,24%
Mississippi,15%,44%,4%,12%,25%
Montana,15%,35%,6%,24%,20%
Alabama,16%,41%,5%,13%,25%
District of Columbia,22%,24%,5%,33%,16%
Maine,15%,34%,5%,24%,22%
Tennessee,17%,38%,5%,16%,24%
Wyoming,18%,37%,5%,20%,20%
Louisiana,17%,40%,5%,15%,23%
Oregon,16%,33%,7%,25%,19%
Oklahoma,23%,37%,5%,13%,22%
Arizona,18%,36%,6%,21%,19%
Florida,18%,37%,7%,19%,19%
New Hampshire,16%,32%,5%,26%,21%
Kentucky,15%,38%,5%,15%,27%
South Dakota,13%,41%,5%,19%,22%
Alaska,19%,32%,7%,23%,19%
Ohio,15%,37%,5%,20%,23%
Missouri,18%,37%,5%,18%,22%
Kansas,16%,37%,7%,18%,22%
Washington,17%,33%,7%,24%,19%
New Mexico,20%,34%,5%,22%,19%
Indiana,15%,38%,6%,17%,24%
Delaware,19%,36%,5%,19%,21%
Virginia,23%,33%,5%,19%,20%
Hawaii,24%,29%,4%,26%,17%
Nebraska,18%,38%,5%,18%,21%
Iowa,16%,37%,7%,18%,22%
Pennsylvania,19%,34%,5%,20%,22%
South Carolina,18%,36%,5%,18%,23%
North Dakota,15%,40%,4%,18%,23%
Wisconsin,14%,36%,6%,22%,22%
Michigan,16%,36%,5%,21%,22%
Utah,19%,34%,6%,23%,18%
Georgia,19%,36%,5%,17%,23%
North Carolina,19%,34%,5%,20%,22%
Rhode Island,18%,31%,5%,26%,20%
Connecticut,20%,31%,4%,25%,20%
Colorado,17%,30%,7%,29%,17%
Minnesota,15%,35%,5%,23%,22%
Texas,24%,35%,5%,17%,19%
New Jersey,23%,31%,5%,22%,19%
Nevada,22%,34%,5%,18%,21%
Illinois,19%,34%,5%,21%,21%
New York,23%,29%,5%,25%,18%
Massachusetts,19%,28%,5%,28%,20%
Maryland,23%,32%,4%,21%,20%
California,22%,30%,6%,24%,18%